OSM_ID,Name,Amenity,Lat,Lon
6586107643,Médecin,pharmacy,-4.419593,15.381633
6039160213,Exaucé,pharmacy,-4.330023,15.346269
7095768367,Couvent de la Paroisse Notre Dame de Grâce,hospital,-4.403802,15.260673
6374102830,PS KYAVISOGHO,doctors,0.3321,29.34976
6374053861,CH LABRECHE,hospital,0.141356,29.299255
6374000313,CS VULAMBA,doctors,0.149061,29.246667
6586967088,Dima Phar,pharmacy,-4.418912,15.384578
6374102318,PS IMANI,doctors,0.111333,29.3053
5287474948,Centre medico-Chirurgical Ngolu,doctors,-4.386792,15.314582
6374100776,TRADI MBOHO,doctors,0.28392,29.22319
6560546262,Centre Médical et Maternité Docteur Honoré,doctors,-4.38702,15.359659
5373465835,Poste de santé de Kavumbwe,doctors,-4.591558,29.123345
6374000549,CS BUTSILI,doctors,0.502608,29.452733
6374102812,PS DIEUESTAVECNOUS,doctors,0.35409,29.24342
6374100732,PS VUSISIRI,doctors,0.188642,29.333018
6374102817,PS VUSAYI,doctors,-0.146001,29.331327
6574624470,,doctors,-4.412956,15.366662
2299738104,CBCO,hospital,-4.343694,15.27636
6374102976,CLIN ISTM,clinic,0.49879,29.45909
6374099371,TRADI KAMUSONGE,doctors,0.211133,29.372158
6374058450,CH COEUR IMMACULE,hospital,0.101564,29.291044
6141086538,Polyclinic Tanganyika,clinic,-5.94538,29.192493
6374102550,PS AFIA NIMALI,doctors,0.50719,29.462725
6374102566,PS MAVWE,doctors,0.039253,29.07316
6254640704,Centre de Santé Basoko 2,clinic,-3.29841,17.376133
6650701785,Pole Pole,doctors,0.098541,29.293709
6123238002,Centre de santé de Référence Notre Dame de Carmel,clinic,-1.66813,29.206547
3312427515,Hopital General Adja,hospital,3.015962,30.477902
6123220045,Centre de santé Hebron,clinic,-1.63895,29.190623
6374102328,PS KIHATE,doctors,0.138067,29.31065
6374000348,CS MUNZAMBAYE,doctors,0.132018,29.271698
6141086514,Centre medical Consolation,doctors,-5.931647,29.174039
5765875594,Body Phar,pharmacy,-4.400556,15.352369
6374100699,PS BUNGWE,doctors,0.14785,29.440053
5332968170,,hospital,-2.502785,28.877708
6374102907,TRADI DRIGITA,doctors,0.37731,29.36865
6374000362,CS MBILINGA,doctors,0.3208,29.20596
6374102834,PS SAIBU,doctors,0.23657,29.24582
6374000288,CSR KASENYI,doctors,1.388799,30.431817
6031763338,Clinique Universitaire de Kalemie,clinic,-5.90402,29.217201
3857588890,Centre médical Saint-Jean Marc,doctors,-11.676852,27.53555
3381333458,Centre de Santé de Binase,hospital,1.355057,29.031503
6476015494,Centre Médical Don Dioli,clinic,-3.0516,28.200213
5375097673,Centre de santé de Kafulo,clinic,-4.113431,28.981842
6374102535,PS BENEDICTION,doctors,0.162667,29.298217
6374102565,PS MANGINA,doctors,0.516667,29.4
5499321331,Centre Medical Kivu,doctors,-4.343055,15.299025
6374102365,TRADI LAVIE DES HOMMES,doctors,0.103469,29.319336
6374100770,PS COODEMUCO,doctors,0.2881,29.42056
6847359185,Sondji CS zsr Kingandu,doctors,-5.566562,18.383397
6374102829,PS TULIZENI/KYANGULUBE,doctors,0.34273,29.3332
6374102313,PS LIROMBI,doctors,0.071033,29.31655
6374100713,TRADI MAISON DE SOIN MAKUTANO,doctors,0.10373,29.29498
6584448906,,pharmacy,-4.370546,15.374637
6374000306,CS VUSA,doctors,0.048712,29.169391
4547853053,Centre Medical Jemina,doctors,-11.630938,27.48209
6374099375,TRADI KICHUKU,doctors,-1.688543,29.2408
6123237470,Centre de santé Ndosho,clinic,-1.654389,29.198232
6581489627,Pharma Agro Vert,pharmacy,-4.411911,15.316153
6374102970,CLIN DE SANTE,clinic,0.492989,29.483077
5766315710,Lumière AFSAI,doctors,-4.419141,15.328245
6374102556,TRADI ASVIP/NDINDI,doctors,0.50029,29.432348
6374102496,PS KASONGOMI,doctors,0.119462,29.287882
5370738613,Dispansaire Matanda Bora,doctors,-4.105107,29.092065
6374102297,PS VUMILIA,doctors,0.150833,29.308933
5216400622,Hôpital Kimbanguiste,hospital,-4.418977,15.381356
6374099360,PS KASAMBIRIO,doctors,0.316467,29.407017
5767669986,CS La Grace,doctors,-4.422323,15.323797
6374102298,TRADI CRP,doctors,0.156637,29.329732
6031763329,Centre de santé Undugu,hospital,-5.9114,29.193534
6939144901,clinic jolie Mondo,hospital,-4.344173,15.282162
6374058401,CH CHURULIKO,hospital,0.15,29.283333
6043767828,Centre santé et maternite Kristu Mobikisi,doctors,-4.337692,15.346753
6374100721,PS LUHANGA,doctors,0.150137,29.39199
3954870545,HGR Bukama,hospital,-9.205193,25.848686
4547853049,Pharmacie Blessing,pharmacy,-11.631029,27.480047
5768598096,Maman Moboti,doctors,-4.404169,15.359176
5499194194,Centre Médical dentisterie Lukaya,doctors,-4.41525,15.286821
6374102293,PS BISMILLAH KALEMIRE,doctors,0.149767,29.304617
5216400641,Yolo Medical,hospital,-4.350603,15.325458
5765380098,Centre de Santé Sarah,hospital,-4.406393,15.33742
4945976022,Hôpital de Référence de Matete,hospital,-4.392832,15.346702
6141086534,Centre de sante Martin luther,hospital,-5.936689,29.193886
5375126381,Poste de santé d'Alenga,doctors,-4.080338,28.952858
5370700022,Dispensaire moderne,doctors,-4.090937,29.089773
5640517137,Centre de santé Mpango,clinic,-0.696559,18.277954
6337598797,Centre De Nyarambe,hospital,2.246108,31.127631
6374000494,CS KYONDO,doctors,0.003742,29.398263
6374102355,PS RUWENZORI,doctors,0.119883,29.296733
6115568992,La joie Pharma,pharmacy,-4.347387,15.356378
6374100783,PS LA PERCEVERANCE,doctors,0.163242,29.322863
798417815,Notre Dame du Jardin,hospital,-4.385157,15.485523
6374100761,TRADI MAISON DIEU MERCI/AS LUBANGO,doctors,-1.660438,29.207644
5765789398,Etane,pharmacy,-4.399248,15.354111
6374102289,PS DE SECOURS,doctors,0.161137,29.322883
2739830090,Centre De Sante Poly-Kat,hospital,-11.71686,27.499649
6374102865,PS MUNOLI,doctors,0.031663,29.209931
2850671190,Centre de Santé,hospital,-11.702657,27.485868
6106043652,Elas Pharma,pharmacy,-4.341039,15.351672
4064446388,,hospital,-6.108156,23.581555
6374102489,PS YESU NI BWANA,doctors,0.126417,29.326833
6374099381,PS CCLK,doctors,-1.646661,29.173461
6374099363,PS ADEPROSA,doctors,0.20016,29.411043
6374000356,CS MUBANA,doctors,-0.282753,29.41232
6374099383,TRADI FUKANG GOMA,doctors,-1.684207,29.240864
6374099336,PS NGALU,doctors,0.122075,29.29136
6043767832,Centre Hospitalier CEV,doctors,-4.33841,15.345551
6374000353,CS MUKUNA,doctors,0.126054,29.325183
3857644762,Centre de santé Saint Abraham,doctors,-11.676374,27.520447
6374099340,PS VUHESI,doctors,0.11661,29.269242
6374102873,PS DELINA,doctors,0.09845,29.2936
6374058387,CM ROI SALOMON,hospital,0.156815,29.32799
6581917716,Centre Médical,clinic,-4.412085,15.319411
6374102509,PS CHANGILIENI,doctors,0.142608,29.280317
5881246054,Centre de santé de Tche,clinic,1.66746,30.515251
944861509,Centre de Santé Kingampika,hospital,-4.418083,15.392063
5373452170,Dispensaire Mema,doctors,-4.912217,29.104647
6374102305,PS BULENGERA,doctors,0.151867,29.33235
5649831696,Centre de santé de Mpangi,clinic,-0.944106,18.380681
3671739681,Muchanga,clinic,-9.407389,25.797611
6374102823,PS SAINT RAPHAEL,doctors,0.37332,29.36414
5765937737,,pharmacy,-4.399601,15.350221
5320544431,Centre de santé Tshimbinda 2,clinic,-5.896774,20.761813
6293492108,Réveillez-vous Pharma,pharmacy,-4.416044,15.339648
6374000513,CS KIBWE,doctors,0.171787,29.401288
4993578564,,doctors,-4.322623,15.280624
6374102978,CLIN STE CROIX,clinic,-0.186196,29.293053
6280650689,Hôpital Général de Référence Nyiragongo,hospital,-1.510909,29.347803
6374102539,TRADI BARAKA,doctors,0.11485,29.27696
6582113978,Nzambe apesi ngai,clinic,-4.394701,15.350121
6374102953,CLIN GLORIA,clinic,0.150917,29.315567
6374102835,PS MUHILA,doctors,0.23975,29.24483
6374102859,PS KIRUNGO,doctors,0.026842,29.3603
5805926329,SHANIMED,pharmacy,-5.944177,29.196569
3712283933,Centres de Santé et Maternité Mama Wa Huruma,doctors,-11.701041,27.450412
6374058385,CH ANUARITE,hospital,0.156108,29.320725
6374000302,CS VUSORONGI,doctors,-0.0417,29.49069
6374100685,TRADI RAMA,doctors,-1.66563,29.24618
5765843755,La Grâce,pharmacy,-4.398821,15.352186
6374102949,CLIN LA MERVEILLE,clinic,0.126507,29.29177
6374102326,PS EERA MUTIRI,doctors,0.130667,29.3081
6374102814,PS KITHOLUFERME,doctors,0.35412,29.24337
3064944304,Hôpital de référénce Fomulac,hospital,-2.23468,28.859872
1023773735,Bugarula,hospital,-2.053987,29.061666
6374000557,CS BIKINDWE,doctors,0.011577,29.283363
6103253875,OSOHAD,pharmacy,-4.344843,15.353361
6374102889,PS COOPEVI,doctors,-0.152695,29.560224
6374100763,TRADI LA RECONNAISSANCE/ AS LUBANGO,doctors,-1.661337,29.20821
6141086526,Centre Medical Militaire Operationnel 22e Brigade Reaction Rapide,hospital,-5.940653,29.175647
2473320004,CHU,hospital,0.053991,18.263772
4701607504,Clinique vétérinaire,veterinary,-4.31113,15.302646
6560546260,Green Word congo,hospital,-4.382639,15.353215
5373376844,Poste de santé de 5em Celpa,doctors,-4.359995,29.15302
6374102351,TRADI EDEN EN EDEN,doctors,0.11757,29.296135
6374058408,CH KIHARO,hospital,0.10135,29.322267
6253712016,clinique Universitaire,clinic,-3.341427,17.361279
6374000299,CS VUTSUNDO,doctors,0.122938,29.27706
6374058396,CH PAIDA,hospital,0.482267,29.497187
3671739670,Kabwe,clinic,-9.150389,25.920278
6374100750,TRADI MEMENA,doctors,-1.640788,29.18
6374058403,CH BARAKA,hospital,0.129483,29.296367
6574677829,Centre Philomene,hospital,-4.415739,15.364202
6475903793,Centre de Santé de Kalingi,clinic,-3.047381,28.200314
2310405243,Hôpital de Dungu,hospital,3.611216,28.556283
6374000289,CSR KAHAMBA,doctors,0.26027,29.23539
6374000526,CS KASALALA,doctors,-0.144977,29.246882
5881319970,Centre de santé de Kyabyohe,clinic,0.917877,30.138347
6374000287,CSR KASIMA,doctors,-0.235425,29.23316
5373458359,Centre de santé de Yungu,clinic,-4.845885,29.103824
7022565210,Centre Médical Genèse 2,doctors,0.520364,25.193139
5650419558,Centre de santé Molele,clinic,-1.388158,19.053131
5499269085,Hôpital Psychiatrique Telema,hospital,-4.383377,15.354971
1023773748,Bunyakiri,clinic,-2.002128,29.085718
